| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape2 |  0.25 | 2500 |1558482994358 |     560 |   563.0 | mscp46.txt |   36 |
| 2 |   25 |      sshape2 |  0.25 | 2500 |1558483030627 |     560 |   564.0 | mscp46.txt |   36 |
| 3 |   25 |      sshape2 |  0.25 | 2500 |1558483067067 |     560 |   562.0 | mscp46.txt |   36 |
| 4 |   25 |      sshape2 |  0.25 | 2500 |1558483103322 |     560 |   562.0 | mscp46.txt |   36 |
| 5 |   25 |      sshape2 |  0.25 | 2500 |1558483139579 |     560 |   563.0 | mscp46.txt |   36 |
| 6 |   25 |      sshape2 |  0.25 | 2500 |1558483175854 |     560 |   562.0 | mscp46.txt |   36 |
| 7 |   25 |      sshape2 |  0.25 | 2500 |1558483212153 |     560 |   563.0 | mscp46.txt |   36 |
| 8 |   25 |      sshape2 |  0.25 | 2500 |1558483248308 |     560 |   562.0 | mscp46.txt |   37 |
| 9 |   25 |      sshape2 |  0.25 | 2500 |1558483284994 |     560 |   564.0 | mscp46.txt |   37 |
|10 |   25 |      sshape2 |  0.25 | 2500 |1558483321509 |     560 |   562.0 | mscp46.txt |   36 |
|11 |   25 |      sshape2 |  0.25 | 2500 |1558483357913 |     560 |   562.0 | mscp46.txt |   36 |
|12 |   25 |      sshape2 |  0.25 | 2500 |1558483394360 |     560 |   561.0 | mscp46.txt |   37 |
|13 |   25 |      sshape2 |  0.25 | 2500 |1558483430864 |     560 |   562.0 | mscp46.txt |   36 |
|14 |   25 |      sshape2 |  0.25 | 2500 |1558483467209 |     560 |   562.0 | mscp46.txt |   36 |
|15 |   25 |      sshape2 |  0.25 | 2500 |1558483503610 |     560 |   566.0 | mscp46.txt |   36 |
|16 |   25 |      sshape2 |  0.25 | 2500 |1558483540084 |     560 |   564.0 | mscp46.txt |   39 |
|17 |   25 |      sshape2 |  0.25 | 2500 |1558483578764 |     560 |   561.0 | mscp46.txt |   39 |
|18 |   25 |      sshape2 |  0.25 | 2500 |1558483617699 |     560 |   562.0 | mscp46.txt |   39 |
|19 |   25 |      sshape2 |  0.25 | 2500 |1558483656978 |     560 |   560.0 | mscp46.txt |   39 |
|20 |   25 |      sshape2 |  0.25 | 2500 |1558483696373 |     560 |   562.0 | mscp46.txt |   39 |
|21 |   25 |      sshape2 |  0.25 | 2500 |1558483735556 |     560 |   567.0 | mscp46.txt |   39 |
|22 |   25 |      sshape2 |  0.25 | 2500 |1558483774827 |     560 |   562.0 | mscp46.txt |   39 |
|23 |   25 |      sshape2 |  0.25 | 2500 |1558483813837 |     560 |   561.0 | mscp46.txt |   39 |
|24 |   25 |      sshape2 |  0.25 | 2500 |1558483853090 |     560 |   562.0 | mscp46.txt |   37 |
|25 |   25 |      sshape2 |  0.25 | 2500 |1558483890177 |     560 |   563.0 | mscp46.txt |   37 |
|26 |   25 |      sshape2 |  0.25 | 2500 |1558483926692 |     560 |   563.0 | mscp46.txt |   37 |
|27 |   25 |      sshape2 |  0.25 | 2500 |1558483963825 |     560 |   565.0 | mscp46.txt |   37 |
|28 |   25 |      sshape2 |  0.25 | 2500 |1558484000668 |     560 |   562.0 | mscp46.txt |   36 |
|29 |   25 |      sshape2 |  0.25 | 2500 |1558484037018 |     560 |   564.0 | mscp46.txt |   36 |
|30 |   25 |      sshape2 |  0.25 | 2500 |1558484073367 |     560 |   563.0 | mscp46.txt |   36 |
|31 |   25 |      sshape2 |  0.25 | 2500 |1558484109755 |     560 |   562.0 | mscp46.txt |   37 |
