| # | Nest | Binarizacion | %Desc |#Iter |      semilla | BestFit |  GotFit |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |      sshape1 |  0.25 | 2500 |1558381230164 |      28 |    29.0 |mscpnre5.txt |1,1e+02 |
| 2 |   25 |      sshape1 |  0.25 | 2500 |1558381336124 |      28 |    28.0 |mscpnre5.txt |   52 |
| 3 |   25 |      sshape1 |  0.25 | 2500 |1558381387973 |      28 |    29.0 |mscpnre5.txt |   55 |
| 4 |   25 |      sshape1 |  0.25 | 2500 |1558381442955 |      28 |    28.0 |mscpnre5.txt |   36 |
| 5 |   25 |      sshape1 |  0.25 | 2500 |1558381479440 |      28 |    30.0 |mscpnre5.txt |   52 |
| 6 |   25 |      sshape1 |  0.25 | 2500 |1558381530993 |      28 |    28.0 |mscpnre5.txt |   55 |
| 7 |   25 |      sshape1 |  0.25 | 2500 |1558381586176 |      28 |    28.0 |mscpnre5.txt |   97 |
| 8 |   25 |      sshape1 |  0.25 | 2500 |1558381683668 |      28 |    28.0 |mscpnre5.txt |1,1e+02 |
| 9 |   25 |      sshape1 |  0.25 | 2500 |1558381790598 |      28 |    28.0 |mscpnre5.txt |   64 |
|10 |   25 |      sshape1 |  0.25 | 2500 |1558381854343 |      28 |    28.0 |mscpnre5.txt |   53 |
|11 |   25 |      sshape1 |  0.25 | 2500 |1558381907030 |      28 |    29.0 |mscpnre5.txt |   53 |
|12 |   25 |      sshape1 |  0.25 | 2500 |1558381960124 |      28 |    28.0 |mscpnre5.txt |   95 |
|13 |   25 |      sshape1 |  0.25 | 2500 |1558382055141 |      28 |    30.0 |mscpnre5.txt |1,1e+02 |
|14 |   25 |      sshape1 |  0.25 | 2500 |1558382167692 |      28 |    28.0 |mscpnre5.txt |   68 |
|15 |   25 |      sshape1 |  0.25 | 2500 |1558382235725 |      28 |    28.0 |mscpnre5.txt |   48 |
|16 |   25 |      sshape1 |  0.25 | 2500 |1558382284121 |      28 |    28.0 |mscpnre5.txt |   37 |
|17 |   25 |      sshape1 |  0.25 | 2500 |1558382320642 |      28 |    28.0 |mscpnre5.txt |   47 |
|18 |   25 |      sshape1 |  0.25 | 2500 |1558382367171 |      28 |    28.0 |mscpnre5.txt |   57 |
|19 |   25 |      sshape1 |  0.25 | 2500 |1558382423749 |      28 |    28.0 |mscpnre5.txt |   91 |
|20 |   25 |      sshape1 |  0.25 | 2500 |1558382514343 |      28 |    28.0 |mscpnre5.txt |   49 |
|21 |   25 |      sshape1 |  0.25 | 2500 |1558382563191 |      28 |    28.0 |mscpnre5.txt |   64 |
|22 |   25 |      sshape1 |  0.25 | 2500 |1558382627535 |      28 |    28.0 |mscpnre5.txt |   35 |
|23 |   25 |      sshape1 |  0.25 | 2500 |1558382662457 |      28 |    28.0 |mscpnre5.txt |   87 |
|24 |   25 |      sshape1 |  0.25 | 2500 |1558382749140 |      28 |    30.0 |mscpnre5.txt |   82 |
|25 |   25 |      sshape1 |  0.25 | 2500 |1558382831633 |      28 |    28.0 |mscpnre5.txt |   69 |
|26 |   25 |      sshape1 |  0.25 | 2500 |1558382900249 |      28 |    28.0 |mscpnre5.txt |   47 |
|27 |   25 |      sshape1 |  0.25 | 2500 |1558382947578 |      28 |    28.0 |mscpnre5.txt |   42 |
|28 |   25 |      sshape1 |  0.25 | 2500 |1558382989112 |      28 |    28.0 |mscpnre5.txt |   56 |
|29 |   25 |      sshape1 |  0.25 | 2500 |1558383044981 |      28 |    28.0 |mscpnre5.txt |   35 |
|30 |   25 |      sshape1 |  0.25 | 2500 |1558383079625 |      28 |    28.0 |mscpnre5.txt |   54 |
|31 |   25 |      sshape1 |  0.25 | 2500 |1558383134096 |      28 |    29.0 |mscpnre5.txt |   87 |
