| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961740672 |     213 |   216.0 |    1,41 | mscp56.txt |  3,1 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961743814 |     213 |   213.0 |    0,00 | mscp56.txt |  2,9 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961746719 |     213 |   213.0 |    0,00 | mscp56.txt |  3,1 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961749810 |     213 |   216.0 |    1,41 | mscp56.txt |  3,4 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961753165 |     213 |   219.0 |    2,82 | mscp56.txt |  2,9 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961756022 |     213 |   216.0 |    1,41 | mscp56.txt |  3,6 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961759599 |     213 |   214.0 |    0,47 | mscp56.txt |  2,9 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961762545 |     213 |   213.0 |    0,00 | mscp56.txt |  3,0 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961765587 |     213 |   216.0 |    1,41 | mscp56.txt |  3,2 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961768820 |     213 |   213.0 |    0,00 | mscp56.txt |  3,0 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961771785 |     213 |   214.0 |    0,47 | mscp56.txt |  3,1 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961774876 |     213 |   217.0 |    1,88 | mscp56.txt |  3,1 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961777977 |     213 |   216.0 |    1,41 | mscp56.txt |  3,0 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961780966 |     213 |   216.0 |    1,41 | mscp56.txt |  2,9 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961783909 |     213 |   213.0 |    0,00 | mscp56.txt |  3,2 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961787140 |     213 |   213.0 |    0,00 | mscp56.txt |  3,1 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961790276 |     213 |   215.0 |    0,94 | mscp56.txt |  3,2 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961793472 |     213 |   213.0 |    0,00 | mscp56.txt |  3,1 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961796549 |     213 |   217.0 |    1,88 | mscp56.txt |  3,6 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961800101 |     213 |   221.0 |    3,76 | mscp56.txt |  3,1 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961803218 |     213 |   214.0 |    0,47 | mscp56.txt |  3,2 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961806444 |     213 |   214.0 |    0,47 | mscp56.txt |  3,1 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961809536 |     213 |   217.0 |    1,88 | mscp56.txt |  2,9 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961812440 |     213 |   220.0 |    3,29 | mscp56.txt |  3,0 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961815407 |     213 |   215.0 |    0,94 | mscp56.txt |  3,0 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961818395 |     213 |   213.0 |    0,00 | mscp56.txt |  3,2 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961821637 |     213 |   221.0 |    3,76 | mscp56.txt |  3,1 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961824694 |     213 |   216.0 |    1,41 | mscp56.txt |  3,2 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961827933 |     213 |   227.0 |    6,57 | mscp56.txt |  3,1 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961831075 |     213 |   216.0 |    1,41 | mscp56.txt |  3,0 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961834112 |     213 |   213.0 |    0,00 | mscp56.txt |  3,0 |
