| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960768863 |     430 |   435.0 |    1,16 | mscp47.txt |  2,5 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960771397 |     430 |   435.0 |    1,16 | mscp47.txt |  2,6 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960774031 |     430 |   435.0 |    1,16 | mscp47.txt |  5,0 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960779062 |     430 |   434.0 |    0,93 | mscp47.txt |  2,7 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960781779 |     430 |   434.0 |    0,93 | mscp47.txt |  2,8 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960784543 |     430 |   435.0 |    1,16 | mscp47.txt |  2,7 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960787252 |     430 |   432.0 |    0,47 | mscp47.txt |  3,5 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960790751 |     430 |   439.0 |    2,09 | mscp47.txt |  3,2 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960793984 |     430 |   435.0 |    1,16 | mscp47.txt |  2,9 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960796873 |     430 |   441.0 |    2,56 | mscp47.txt |  3,3 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960800180 |     430 |   435.0 |    1,16 | mscp47.txt |  4,9 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960805037 |     430 |   434.0 |    0,93 | mscp47.txt |  2,7 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960807762 |     430 |   438.0 |    1,86 | mscp47.txt |  3,8 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960811586 |     430 |   431.0 |    0,23 | mscp47.txt |  3,0 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960814615 |     430 |   435.0 |    1,16 | mscp47.txt |  2,6 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960817249 |     430 |   435.0 |    1,16 | mscp47.txt |  2,8 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960820016 |     430 |   435.0 |    1,16 | mscp47.txt |  2,9 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960822918 |     430 |   435.0 |    1,16 | mscp47.txt |  2,7 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960825606 |     430 |   441.0 |    2,56 | mscp47.txt |  2,7 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960828313 |     430 |   435.0 |    1,16 | mscp47.txt |  3,2 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960831559 |     430 |   435.0 |    1,16 | mscp47.txt |  2,9 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960834424 |     430 |   439.0 |    2,09 | mscp47.txt |  2,6 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960837052 |     430 |   441.0 |    2,56 | mscp47.txt |  2,7 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960839712 |     430 |   434.0 |    0,93 | mscp47.txt |  3,4 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960843098 |     430 |   442.0 |    2,79 | mscp47.txt |  2,7 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960845809 |     430 |   435.0 |    1,16 | mscp47.txt |  2,8 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960848604 |     430 |   440.0 |    2,33 | mscp47.txt |  2,9 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960851477 |     430 |   434.0 |    0,93 | mscp47.txt |  2,6 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960854058 |     430 |   435.0 |    1,16 | mscp47.txt |  3,5 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960857575 |     430 |   435.0 |    1,16 | mscp47.txt |  2,6 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560960860132 |     430 |   435.0 |    1,16 | mscp47.txt |  3,8 |
