| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965241140 |     227 |   228.0 |    0,44 | mscpc1.txt |   11 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965252246 |     227 |   228.0 |    0,44 | mscpc1.txt |   11 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965263591 |     227 |   234.0 |    3,08 | mscpc1.txt |  8,8 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965272421 |     227 |   232.0 |    2,20 | mscpc1.txt |   12 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965284174 |     227 |   232.0 |    2,20 | mscpc1.txt |  8,4 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965292574 |     227 |   231.0 |    1,76 | mscpc1.txt |   11 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965303840 |     227 |   232.0 |    2,20 | mscpc1.txt |   13 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965317046 |     227 |   231.0 |    1,76 | mscpc1.txt |   12 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965328658 |     227 |   233.0 |    2,64 | mscpc1.txt |   12 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965340837 |     227 |   231.0 |    1,76 | mscpc1.txt |  9,8 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965350590 |     227 |   230.0 |    1,32 | mscpc1.txt |   13 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965363699 |     227 |   233.0 |    2,64 | mscpc1.txt |   14 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965378043 |     227 |   232.0 |    2,20 | mscpc1.txt |   15 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965393150 |     227 |   231.0 |    1,76 | mscpc1.txt |   11 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965403790 |     227 |   237.0 |    4,41 | mscpc1.txt |   17 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965421240 |     227 |   233.0 |    2,64 | mscpc1.txt |  8,9 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965430107 |     227 |   231.0 |    1,76 | mscpc1.txt |   13 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965443100 |     227 |   233.0 |    2,64 | mscpc1.txt |  9,2 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965452311 |     227 |   233.0 |    2,64 | mscpc1.txt |   12 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965464293 |     227 |   229.0 |    0,88 | mscpc1.txt |  9,9 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965474169 |     227 |   235.0 |    3,52 | mscpc1.txt |  9,2 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965483340 |     227 |   230.0 |    1,32 | mscpc1.txt |   10 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965493436 |     227 |   235.0 |    3,52 | mscpc1.txt |   11 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965504627 |     227 |   239.0 |    5,29 | mscpc1.txt |   14 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965518327 |     227 |   234.0 |    3,08 | mscpc1.txt |  8,9 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965527195 |     227 |   235.0 |    3,52 | mscpc1.txt |  9,3 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965536455 |     227 |   233.0 |    2,64 | mscpc1.txt |   12 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965547999 |     227 |   232.0 |    2,20 | mscpc1.txt |   20 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965567735 |     227 |   232.0 |    2,20 | mscpc1.txt |   12 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965579254 |     227 |   231.0 |    1,76 | mscpc1.txt |   11 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560965589973 |     227 |   238.0 |    4,85 | mscpc1.txt |   15 |
