| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560973993474 |      14 |  2499.0 |17750,00 |mscpnrf4.txt |   15 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974008752 |      14 |  2544.0 |18071,43 |mscpnrf4.txt |   15 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974024148 |      14 |  2484.0 |17642,86 |mscpnrf4.txt |   15 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974039449 |      14 |  2435.0 |17292,86 |mscpnrf4.txt |   15 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974054632 |      14 |  2518.0 |17885,71 |mscpnrf4.txt |   16 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974070256 |      14 |  2552.0 |18128,57 |mscpnrf4.txt |   16 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974086357 |      14 |  2629.0 |18678,57 |mscpnrf4.txt |   16 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974102095 |      14 |  2497.0 |17735,71 |mscpnrf4.txt |   15 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974117505 |      14 |  2568.0 |18242,86 |mscpnrf4.txt |   16 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974133506 |      14 |  2550.0 |18114,29 |mscpnrf4.txt |   16 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974149287 |      14 |  2508.0 |17814,29 |mscpnrf4.txt |   16 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974164883 |      14 |  2445.0 |17364,29 |mscpnrf4.txt |   16 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974180527 |      14 |  2560.0 |18185,71 |mscpnrf4.txt |   16 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974196119 |      14 |  2494.0 |17714,29 |mscpnrf4.txt |   16 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974211620 |      14 |  2546.0 |18085,71 |mscpnrf4.txt |   15 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974227082 |      14 |  2503.0 |17778,57 |mscpnrf4.txt |   15 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974242472 |      14 |  2474.0 |17571,43 |mscpnrf4.txt |   15 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974257942 |      14 |  2406.0 |17085,71 |mscpnrf4.txt |   15 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974273393 |      14 |  2475.0 |17578,57 |mscpnrf4.txt |   15 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974288766 |      14 |  2570.0 |18257,14 |mscpnrf4.txt |   16 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974304277 |      14 |  2447.0 |17378,57 |mscpnrf4.txt |   15 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974319722 |      14 |  2536.0 |18014,29 |mscpnrf4.txt |   15 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974335097 |      14 |  2496.0 |17728,57 |mscpnrf4.txt |   15 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974350567 |      14 |  2423.0 |17207,14 |mscpnrf4.txt |   15 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974366061 |      14 |  2439.0 |17321,43 |mscpnrf4.txt |   15 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974381495 |      14 |  2528.0 |17957,14 |mscpnrf4.txt |   15 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974396929 |      14 |  2530.0 |17971,43 |mscpnrf4.txt |   15 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974412395 |      14 |  2502.0 |17771,43 |mscpnrf4.txt |   16 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974428074 |      14 |  2438.0 |17314,29 |mscpnrf4.txt |   16 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974443746 |      14 |  2499.0 |17750,00 |mscpnrf4.txt |   15 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560974458910 |      14 |  2492.0 |17700,00 |mscpnrf4.txt |   15 |
