| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966834486 |     215 |   218.0 |    1,40 | mscpc5.txt |   13 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966847344 |     215 |   217.0 |    0,93 | mscpc5.txt |  7,7 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966855000 |     215 |   218.0 |    1,40 | mscpc5.txt |  7,1 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966862142 |     215 |   218.0 |    1,40 | mscpc5.txt |   23 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966885496 |     215 |   216.0 |    0,47 | mscpc5.txt |   26 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966911206 |     215 |   219.0 |    1,86 | mscpc5.txt |  7,2 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966918446 |     215 |   216.0 |    0,47 | mscpc5.txt |  8,6 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966927041 |     215 |   217.0 |    0,93 | mscpc5.txt |  9,1 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966936101 |     215 |   219.0 |    1,86 | mscpc5.txt |  9,9 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966945966 |     215 |   219.0 |    1,86 | mscpc5.txt |   13 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966959235 |     215 |   216.0 |    0,47 | mscpc5.txt |  7,4 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966966633 |     215 |   219.0 |    1,86 | mscpc5.txt |   10 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966976804 |     215 |   219.0 |    1,86 | mscpc5.txt |   13 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966990133 |     215 |   219.0 |    1,86 | mscpc5.txt |  8,3 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560966998433 |     215 |   218.0 |    1,40 | mscpc5.txt |  8,8 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967007272 |     215 |   218.0 |    1,40 | mscpc5.txt |   12 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967018818 |     215 |   218.0 |    1,40 | mscpc5.txt |  7,3 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967026090 |     215 |   219.0 |    1,86 | mscpc5.txt |  7,3 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967033384 |     215 |   219.0 |    1,86 | mscpc5.txt |   16 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967049068 |     215 |   219.0 |    1,86 | mscpc5.txt |   11 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967060321 |     215 |   220.0 |    2,33 | mscpc5.txt |  8,6 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967068950 |     215 |   217.0 |    0,93 | mscpc5.txt |   11 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967079768 |     215 |   219.0 |    1,86 | mscpc5.txt |  7,0 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967086770 |     215 |   216.0 |    0,47 | mscpc5.txt |   13 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967099630 |     215 |   218.0 |    1,40 | mscpc5.txt |   17 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967116182 |     215 |   220.0 |    2,33 | mscpc5.txt |   16 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967131798 |     215 |   218.0 |    1,40 | mscpc5.txt |   11 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967142897 |     215 |   219.0 |    1,86 | mscpc5.txt |   10 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967153100 |     215 |   217.0 |    0,93 | mscpc5.txt |   11 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967163904 |     215 |   217.0 |    0,93 | mscpc5.txt |   10 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560967173976 |     215 |   218.0 |    1,40 | mscpc5.txt |  9,6 |
