| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560981735809 |     168 | 10740.0 | 6292,86 |mscpnrg5.txt |   56 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560981791412 |     168 | 11067.0 | 6487,50 |mscpnrg5.txt |   56 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560981847558 |     168 | 11189.0 | 6560,12 |mscpnrg5.txt |   57 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560981904265 |     168 | 10874.0 | 6372,62 |mscpnrg5.txt |   55 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560981959715 |     168 | 10791.0 | 6323,21 |mscpnrg5.txt |   54 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982014030 |     168 | 10923.0 | 6401,79 |mscpnrg5.txt |   54 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982068479 |     168 | 10991.0 | 6442,26 |mscpnrg5.txt |   55 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982123191 |     168 | 11240.0 | 6590,48 |mscpnrg5.txt |   55 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982177792 |     168 | 11133.0 | 6526,79 |mscpnrg5.txt |   55 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982232472 |     168 | 10897.0 | 6386,31 |mscpnrg5.txt |   54 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982286920 |     168 | 11110.0 | 6513,10 |mscpnrg5.txt |   55 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982341577 |     168 | 10819.0 | 6339,88 |mscpnrg5.txt |   55 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982396101 |     168 | 10973.0 | 6431,55 |mscpnrg5.txt |   54 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982450525 |     168 | 10899.0 | 6387,50 |mscpnrg5.txt |   56 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982506456 |     168 | 11077.0 | 6493,45 |mscpnrg5.txt |   55 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982560961 |     168 | 10749.0 | 6298,21 |mscpnrg5.txt |   54 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982615198 |     168 | 10808.0 | 6333,33 |mscpnrg5.txt |   54 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982669422 |     168 | 10657.0 | 6243,45 |mscpnrg5.txt |   54 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982723903 |     168 | 10923.0 | 6401,79 |mscpnrg5.txt |   54 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982777759 |     168 | 11227.0 | 6582,74 |mscpnrg5.txt |   55 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982832264 |     168 | 10802.0 | 6329,76 |mscpnrg5.txt |   54 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982886679 |     168 | 10802.0 | 6329,76 |mscpnrg5.txt |   55 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982941324 |     168 | 11037.0 | 6469,64 |mscpnrg5.txt |   54 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560982995566 |     168 | 11040.0 | 6471,43 |mscpnrg5.txt |   55 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983050538 |     168 | 10838.0 | 6351,19 |mscpnrg5.txt |   55 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983105945 |     168 | 10943.0 | 6413,69 |mscpnrg5.txt |   56 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983161875 |     168 | 10832.0 | 6347,62 |mscpnrg5.txt |   56 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983217489 |     168 | 11074.0 | 6491,67 |mscpnrg5.txt |   56 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983273084 |     168 | 10918.0 | 6398,81 |mscpnrg5.txt |   56 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983328896 |     168 | 11008.0 | 6452,38 |mscpnrg5.txt |   56 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560983384749 |     168 | 10702.0 | 6270,24 |mscpnrg5.txt |   55 |
