| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962380100 |     146 |   157.0 |    7,53 | mscp62.txt |  2,2 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962382284 |     146 |   158.0 |    8,22 | mscp62.txt |  2,7 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962385012 |     146 |   151.0 |    3,42 | mscp62.txt |  2,8 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962387859 |     146 |   157.0 |    7,53 | mscp62.txt |  2,5 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962390379 |     146 |   153.0 |    4,79 | mscp62.txt |  2,3 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962392646 |     146 |   156.0 |    6,85 | mscp62.txt |  2,2 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962394808 |     146 |   157.0 |    7,53 | mscp62.txt |  2,5 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962397291 |     146 |   152.0 |    4,11 | mscp62.txt |  3,3 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962400626 |     146 |   157.0 |    7,53 | mscp62.txt |  3,1 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962403703 |     146 |   146.0 |    0,00 | mscp62.txt |  2,1 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962405843 |     146 |   154.0 |    5,48 | mscp62.txt |  2,6 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962408404 |     146 |   150.0 |    2,74 | mscp62.txt |  2,1 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962410505 |     146 |   149.0 |    2,05 | mscp62.txt |  2,2 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962412667 |     146 |   155.0 |    6,16 | mscp62.txt |  2,3 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962414972 |     146 |   155.0 |    6,16 | mscp62.txt |  2,7 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962417639 |     146 |   165.0 |   13,01 | mscp62.txt |  3,0 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962420630 |     146 |   151.0 |    3,42 | mscp62.txt |  2,5 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962423161 |     146 |   150.0 |    2,74 | mscp62.txt |  2,2 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962425343 |     146 |   152.0 |    4,11 | mscp62.txt |  3,1 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962428465 |     146 |   149.0 |    2,05 | mscp62.txt |  2,4 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962430878 |     146 |   153.0 |    4,79 | mscp62.txt |  2,2 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962433070 |     146 |   163.0 |   11,64 | mscp62.txt |  3,0 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962436117 |     146 |   150.0 |    2,74 | mscp62.txt |  2,4 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962438493 |     146 |   157.0 |    7,53 | mscp62.txt |  2,3 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962440767 |     146 |   151.0 |    3,42 | mscp62.txt |  3,1 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962443847 |     146 |   153.0 |    4,79 | mscp62.txt |  2,4 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962446282 |     146 |   149.0 |    2,05 | mscp62.txt |  2,7 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962449006 |     146 |   149.0 |    2,05 | mscp62.txt |  2,5 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962451486 |     146 |   151.0 |    3,42 | mscp62.txt |  2,8 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962454290 |     146 |   153.0 |    4,79 | mscp62.txt |  2,5 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962456775 |     146 |   154.0 |    5,48 | mscp62.txt |  2,4 |
