| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963147052 |     232 |   234.0 |    0,86 | mscpa3.txt |  5,4 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963152484 |     232 |   235.0 |    1,29 | mscpa3.txt |  9,0 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963161487 |     232 |   238.0 |    2,59 | mscpa3.txt |  6,5 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963167980 |     232 |   236.0 |    1,72 | mscpa3.txt |  9,0 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963176964 |     232 |   238.0 |    2,59 | mscpa3.txt |  5,6 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963182516 |     232 |   235.0 |    1,29 | mscpa3.txt |  5,2 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963187727 |     232 |   234.0 |    0,86 | mscpa3.txt |  6,1 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963193800 |     232 |   235.0 |    1,29 | mscpa3.txt |  5,5 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963199263 |     232 |   233.0 |    0,43 | mscpa3.txt |  6,5 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963205808 |     232 |   240.0 |    3,45 | mscpa3.txt |  7,1 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963212938 |     232 |   235.0 |    1,29 | mscpa3.txt |  9,1 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963222046 |     232 |   234.0 |    0,86 | mscpa3.txt |  5,2 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963227287 |     232 |   239.0 |    3,02 | mscpa3.txt |  6,6 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963233866 |     232 |   233.0 |    0,43 | mscpa3.txt |  6,3 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963240215 |     232 |   234.0 |    0,86 | mscpa3.txt |  5,6 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963245827 |     232 |   237.0 |    2,16 | mscpa3.txt |   11 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963256817 |     232 |   233.0 |    0,43 | mscpa3.txt |  5,8 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963262654 |     232 |   237.0 |    2,16 | mscpa3.txt |  5,2 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963267819 |     232 |   235.0 |    1,29 | mscpa3.txt |  6,2 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963274005 |     232 |   238.0 |    2,59 | mscpa3.txt |  7,2 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963281198 |     232 |   236.0 |    1,72 | mscpa3.txt |  8,5 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963289652 |     232 |   239.0 |    3,02 | mscpa3.txt |  7,4 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963297091 |     232 |   235.0 |    1,29 | mscpa3.txt |  6,9 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963304006 |     232 |   235.0 |    1,29 | mscpa3.txt |  5,5 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963309489 |     232 |   234.0 |    0,86 | mscpa3.txt |  6,4 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963315859 |     232 |   237.0 |    2,16 | mscpa3.txt |  8,6 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963324425 |     232 |   235.0 |    1,29 | mscpa3.txt |  6,6 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963331013 |     232 |   234.0 |    0,86 | mscpa3.txt |  8,7 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963339674 |     232 |   236.0 |    1,72 | mscpa3.txt |  5,6 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963345245 |     232 |   240.0 |    3,45 | mscpa3.txt |  9,1 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560963354304 |     232 |   236.0 |    1,72 | mscpa3.txt |  5,5 |
