| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961837079 |     293 |   296.0 |    1,02 | mscp57.txt |  5,4 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961842490 |     293 |   298.0 |    1,71 | mscp57.txt |  3,3 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961845840 |     293 |   299.0 |    2,05 | mscp57.txt |  3,0 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961848809 |     293 |   299.0 |    2,05 | mscp57.txt |  4,4 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961853254 |     293 |   294.0 |    0,34 | mscp57.txt |  3,3 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961856536 |     293 |   299.0 |    2,05 | mscp57.txt |  2,9 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961859457 |     293 |   297.0 |    1,37 | mscp57.txt |  3,4 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961862842 |     293 |   301.0 |    2,73 | mscp57.txt |  3,4 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961866289 |     293 |   296.0 |    1,02 | mscp57.txt |  5,3 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961871599 |     293 |   295.0 |    0,68 | mscp57.txt |  2,9 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961874545 |     293 |   294.0 |    0,34 | mscp57.txt |  2,8 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961877367 |     293 |   294.0 |    0,34 | mscp57.txt |  4,8 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961882140 |     293 |   299.0 |    2,05 | mscp57.txt |  3,7 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961885812 |     293 |   297.0 |    1,37 | mscp57.txt |  2,8 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961888656 |     293 |   295.0 |    0,68 | mscp57.txt |  3,1 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961891734 |     293 |   296.0 |    1,02 | mscp57.txt |  3,0 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961894780 |     293 |   296.0 |    1,02 | mscp57.txt |  3,8 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961898625 |     293 |   294.0 |    0,34 | mscp57.txt |  3,1 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961901682 |     293 |   297.0 |    1,37 | mscp57.txt |  3,5 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961905133 |     293 |   300.0 |    2,39 | mscp57.txt |  2,9 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961908046 |     293 |   298.0 |    1,71 | mscp57.txt |  3,4 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961911446 |     293 |   297.0 |    1,37 | mscp57.txt |  3,5 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961914970 |     293 |   296.0 |    1,02 | mscp57.txt |  3,1 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961918062 |     293 |   298.0 |    1,71 | mscp57.txt |  3,6 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961921686 |     293 |   293.0 |    0,00 | mscp57.txt |  3,1 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961924776 |     293 |   297.0 |    1,37 | mscp57.txt |  3,2 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961928003 |     293 |   295.0 |    0,68 | mscp57.txt |  3,1 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961931099 |     293 |   299.0 |    2,05 | mscp57.txt |  3,1 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961934235 |     293 |   293.0 |    0,00 | mscp57.txt |  4,5 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961938777 |     293 |   294.0 |    0,34 | mscp57.txt |  3,1 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961941846 |     293 |   293.0 |    0,00 | mscp57.txt |  3,6 |
