| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962287725 |     138 |   146.0 |    5,80 | mscp61.txt |  3,4 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962291124 |     138 |   142.0 |    2,90 | mscp61.txt |  5,1 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962296244 |     138 |   147.0 |    6,52 | mscp61.txt |  2,4 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962298645 |     138 |   146.0 |    5,80 | mscp61.txt |  2,3 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962300943 |     138 |   142.0 |    2,90 | mscp61.txt |  3,0 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962303988 |     138 |   145.0 |    5,07 | mscp61.txt |  2,7 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962306717 |     138 |   144.0 |    4,35 | mscp61.txt |  2,5 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962309236 |     138 |   145.0 |    5,07 | mscp61.txt |  2,8 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962312059 |     138 |   145.0 |    5,07 | mscp61.txt |  2,3 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962314371 |     138 |   143.0 |    3,62 | mscp61.txt |  4,1 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962318422 |     138 |   140.0 |    1,45 | mscp61.txt |  2,6 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962321038 |     138 |   142.0 |    2,90 | mscp61.txt |  2,8 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962323873 |     138 |   143.0 |    3,62 | mscp61.txt |  2,7 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962326569 |     138 |   143.0 |    3,62 | mscp61.txt |  3,3 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962329832 |     138 |   146.0 |    5,80 | mscp61.txt |  2,9 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962332705 |     138 |   143.0 |    3,62 | mscp61.txt |  2,2 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962334928 |     138 |   142.0 |    2,90 | mscp61.txt |  2,6 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962337547 |     138 |   147.0 |    6,52 | mscp61.txt |  3,1 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962340598 |     138 |   145.0 |    5,07 | mscp61.txt |  2,7 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962343276 |     138 |   141.0 |    2,17 | mscp61.txt |  4,4 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962347645 |     138 |   140.0 |    1,45 | mscp61.txt |  3,6 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962351240 |     138 |   145.0 |    5,07 | mscp61.txt |  2,8 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962354045 |     138 |   143.0 |    3,62 | mscp61.txt |  2,5 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962356565 |     138 |   144.0 |    4,35 | mscp61.txt |  5,1 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962361661 |     138 |   143.0 |    3,62 | mscp61.txt |  2,9 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962364527 |     138 |   140.0 |    1,45 | mscp61.txt |  2,2 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962366744 |     138 |   143.0 |    3,62 | mscp61.txt |  3,1 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962369797 |     138 |   144.0 |    4,35 | mscp61.txt |  2,6 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962372439 |     138 |   143.0 |    3,62 | mscp61.txt |  2,2 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962374635 |     138 |   145.0 |    5,07 | mscp61.txt |  2,5 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560962377113 |     138 |   140.0 |    1,45 | mscp61.txt |  3,0 |
