| # | Nest |     Clusters |        Pesos | %Desc |#Iter |      semilla | BestFit |GottedFit |        RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961543120 |     242 |   242.0 |    0,00 | mscp54.txt |  2,9 |
| 2 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961546001 |     242 |   247.0 |    2,07 | mscp54.txt |  3,4 |
| 3 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961549442 |     242 |   246.0 |    1,65 | mscp54.txt |  3,2 |
| 4 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961552603 |     242 |   245.0 |    1,24 | mscp54.txt |  2,8 |
| 5 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961555407 |     242 |   245.0 |    1,24 | mscp54.txt |  3,2 |
| 6 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961558587 |     242 |   245.0 |    1,24 | mscp54.txt |  3,6 |
| 7 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961562177 |     242 |   247.0 |    2,07 | mscp54.txt |  3,2 |
| 8 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961565411 |     242 |   245.0 |    1,24 | mscp54.txt |  3,4 |
| 9 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961568801 |     242 |   245.0 |    1,24 | mscp54.txt |  4,1 |
|10 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961572929 |     242 |   242.0 |    0,00 | mscp54.txt |  3,1 |
|11 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961576011 |     242 |   242.0 |    0,00 | mscp54.txt |  2,9 |
|12 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961578939 |     242 |   245.0 |    1,24 | mscp54.txt |  3,3 |
|13 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961582258 |     242 |   245.0 |    1,24 | mscp54.txt |  3,1 |
|14 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961585360 |     242 |   249.0 |    2,89 | mscp54.txt |  3,2 |
|15 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961588558 |     242 |   246.0 |    1,65 | mscp54.txt |  3,0 |
|16 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961591593 |     242 |   245.0 |    1,24 | mscp54.txt |  3,8 |
|17 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961595358 |     242 |   245.0 |    1,24 | mscp54.txt |  3,4 |
|18 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961598756 |     242 |   242.0 |    0,00 | mscp54.txt |  2,9 |
|19 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961601645 |     242 |   242.0 |    0,00 | mscp54.txt |  3,4 |
|20 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961605040 |     242 |   242.0 |    0,00 | mscp54.txt |  3,3 |
|21 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961608368 |     242 |   245.0 |    1,24 | mscp54.txt |  3,3 |
|22 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961611619 |     242 |   245.0 |    1,24 | mscp54.txt |  3,7 |
|23 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961615303 |     242 |   242.0 |    0,00 | mscp54.txt |  3,3 |
|24 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961618562 |     242 |   246.0 |    1,65 | mscp54.txt |  2,9 |
|25 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961621494 |     242 |   245.0 |    1,24 | mscp54.txt |  2,8 |
|26 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961624344 |     242 |   245.0 |    1,24 | mscp54.txt |  3,0 |
|27 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961627317 |     242 |   245.0 |    1,24 | mscp54.txt |  4,5 |
|28 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961631851 |     242 |   245.0 |    1,24 | mscp54.txt |  4,2 |
|29 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961636007 |     242 |   242.0 |    0,00 | mscp54.txt |  3,3 |
|30 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961639350 |     242 |   245.0 |    1,24 | mscp54.txt |  5,1 |
|31 |   25 |            3 |[0.04, 0.06, 0.08] |  0.25 | 2500 |1560961644500 |     242 |   246.0 |    1,65 | mscp54.txt |  2,7 |
